ID,Description,setSize,enrichmentScore,NES,pvalue,BY_corrected_p,FDR_corrected_p,representative,representative_description,rank,leading_edge,core_enrichment
GO:0000278,mitotic cell cycle,324,-0.4799412661183532,-2.4222665191949315,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:1903047,mitotic cell cycle process,775,"tags=32%, list=15%, signal=29%",STMN1/USP44/CHEK2/ASNS/SEPTIN6/SPAST/NABP1/CENPF/RBL1/NDC80/FOXG1/MTBP/RIOK2/MNAT1/ZFP36L1/NBN/MCM3/ANLN/DSCC1/NSFL1C/RPA2/MDC1/CDK13/E4F1/RPL26/NLE1/MRE11/RPS6/TOM1L2/UNC119/UBE2I/KIF2A/CDC73/TOPBP1/EIF4EBP1/ANKLE2/NASP/CLASP1/RTF2/ANGEL2/ANAPC7/RNF2/WEE1/PSME3/KIF14/DDX3X/PLRG1/CHTF8/RPA3/PLK1/ZNF207/CCDC61/NUF2/ZFYVE19/LIG1/MCM6/RB1/RPL24/CEP55/PCNA/MCM4/CENPH/MCM2/TICRR/CDK4/DNMT3A/NCAPH/IQGAP3/CDKN2D/SMC2/GINS3/SIRT1/DLGAP5/PBK/BRCA1/POLA1/NSL1/NCAPD2/AURKB/CDC45/NCAPG/RRM1/PPP3CA/SPC25/KIF20A/MSH2/PRC1/MYBL2/KIF4A/KIF15/CDK1/WDHD1/CKS2/CDCA8/KIF22/EME1/CCNA2/KIFC1/KIF23/RACGAP1/CCNE2/TPX2/GTSE1/BUB1
GO:0000280,nuclear division,149,-0.5372920296232602,-2.456768007315392,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0000280,nuclear division,797,"tags=37%, list=15%, signal=32%",ZWILCH/USP44/CHEK2/SPAST/CENPF/NDC80/MTBP/RIOK2/ANLN/DSCC1/NSFL1C/CDK13/MRE11/ERCC4/RAD50/TOM1L2/UBE2I/KIF2A/ANKLE2/CLASP1/ANAPC7/KIF14/CHTF8/EHMT2/MLH1/PLK1/ZNF207/CCDC61/NUF2/RMI1/RB1/RPL24/MND1/NCAPH/SMC2/DLGAP5/NSL1/NCAPD2/AURKB/NCAPG/PRC1/MYBL2/KIF4A/TOP2A/KIF15/CKS2/CDCA8/KIF22/EME1/KIFC1/KIF23/RACGAP1/CCNE2/TPX2/BUB1
GO:0006259,DNA metabolic process,353,-0.4462767606340673,-2.2619645352246955,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0006281,DNA repair,1322,"tags=43%, list=25%, signal=35%",AIFM1/INO80C/PPP1R10/CIZ1/TCP1/VCPIP1/NIPBL/XRN2/BRIP1/CSNK1E/DHX9/COMMD1/SUPV3L1/UBR5/CCT7/TP53BP1/EXOSC10/CUL4B/KPNA1/INO80B/PPP5C/PWWP3A/PDS5A/VCP/DMAP1/RUVBL1/INIP/USP10/DNAJC2/BAZ2A/RFC3/DHX36/YLPM1/ENDOG/INO80D/XRN1/RAD21/ATRX/SLF1/SUB1/RFC5/POLE4/YY1/MAGEF1/ASCC3/PAXIP1/POLD1/GATAD2A/PIAS4/PTGES3/CCT3/CDK9/PRPF19/KIN/RNF113A/CHEK2/PARP2/PAGR1/RLF/GNL3L/TOP1/NABP1/CENPF/RFC4/MBD2/RFC1/TINF2/MNAT1/NBN/RNASEH1/SFPQ/MCRS1/PRIM2/MCM3/DSCC1/RPA2/LRWD1/MDC1/NSMCE1/ORC3/ATF7IP/MRE11/POT1/ERCC4/RAD50/RFC2/GLRX2/TOPBP1/RTF2/XPA/MTA1/BMPR2/FEN1/RPA1/CHTF8/EHMT2/MLH1/RPA3/RPAIN/GINS4/LIG1/POLG2/MYC/DEK/RMI1/MBD3/TIMELESS/MGME1/MCM6/ERCC1/ISG20/PCNA/MCM5/MCM4/MND1/MCM2/PRIM1/ORC2/TICRR/POLE2/CHAF1B/DNMT3A/CDKN2D/GINS3/SIRT1/BRCA1/POLA1/DDX21/MCM7/TFRC/AURKB/CDC45/SFR1/UHRF1/TET1/MIS18A/SMARCAD1/MSH2/TOP2A/GINS2/CDK1/WDHD1/MCM10/HELLS/POLA2/ESCO2/ZRANB3/KIF22/CHAF1A/EME1/RAD18/PCLAF/CCNE2
GO:0006260,DNA replication,122,-0.7222154534818708,-3.1691064947939065,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0000724,double-strand break repair via homologous recombination,661,"tags=55%, list=13%, signal=49%",RFC4/RFC1/NBN/STOML2/PRIM2/MCM3/DSCC1/RPA2/LRWD1/RBMS1/E4F1/ORC3/MRE11/RFC2/TOPBP1/TWNK/NASP/RTF2/FEN1/NAP1L1/RPA1/CHTF8/EHMT2/MCMBP/RPA3/RPAIN/GINS4/SSBP1/LIG1/POLG2/RMI1/TIMELESS/MGME1/MCM6/PCNA/MCM5/MCM4/MCM2/PRIM1/CDK2AP1/ORC2/TICRR/POLE2/CHAF1B/GINS3/OBI1/POLA1/DDX21/MCM7/ING4/CDC45/RRM1/GINS2/CDK1/WDHD1/MCM10/POLA2/ESCO2/DUT/ZRANB3/CHAF1A/EME1/GMNN/CCNA2/PCLAF/CCNE2/RRM2
GO:0006261,DNA-dependent DNA replication,75,-0.7577114991578727,-3.102881449491428,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0000724,double-strand break repair via homologous recombination,661,"tags=63%, list=13%, signal=56%",RFC4/RFC1/NBN/STOML2/PRIM2/MCM3/DSCC1/LRWD1/ORC3/MRE11/RFC2/TOPBP1/TWNK/RTF2/FEN1/RPA1/CHTF8/MCMBP/RPAIN/GINS4/SSBP1/LIG1/POLG2/TIMELESS/MGME1/MCM6/PCNA/MCM5/MCM4/MCM2/PRIM1/CDK2AP1/ORC2/TICRR/POLE2/GINS3/POLA1/DDX21/MCM7/CDC45/WDHD1/MCM10/POLA2/ZRANB3/EME1/GMNN/CCNE2
GO:0006281,DNA repair,211,-0.4913889938236698,-2.355412822163896,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0006281,DNA repair,1357,"tags=48%, list=26%, signal=37%",RADX/ATP23/MEN1/INO80C/VCPIP1/NIPBL/BRIP1/CSNK1E/DHX9/COMMD1/UBR5/TP53BP1/CUL4B/INO80B/PPP5C/PWWP3A/PDS5A/VCP/DMAP1/RUVBL1/INIP/USP10/RFC3/INO80D/RAD21/ATRX/SLF1/RFC5/YY1/MAGEF1/ASCC3/PAXIP1/POLD1/PIAS4/CDK9/PRPF19/KIN/RNF113A/CHEK2/PARP2/PAGR1/NABP1/RFC4/RFC1/MNAT1/NBN/SFPQ/MCRS1/MCM3/RPA2/MDC1/NSMCE1/MRE11/POT1/ERCC4/RAD50/RFC2/TOPBP1/XPA/MTA1/FEN1/RPA1/MLH1/RPA3/RPAIN/GINS4/LIG1/POLG2/DEK/RMI1/TIMELESS/MGME1/MCM6/ERCC1/PCNA/MCM5/MCM4/MCM2/TICRR/POLE2/CHAF1B/CDKN2D/SIRT1/BRCA1/POLA1/MCM7/CDC45/SFR1/UHRF1/SMARCAD1/MSH2/GINS2/CDK1/WDHD1/ESCO2/ZRANB3/KIF22/CHAF1A/EME1/RAD18/PCLAF
GO:0006629,lipid metabolic process,438,0.3887376621128471,1.9283111188613915,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0006082,organic acid metabolic process,1023,"tags=33%, list=20%, signal=29%",AGPAT4/GGT5/HAO2/OXSM/INS/FABP6/LAMTOR1/CUBN/PISD/SLC16A1/NPC2/DPEP1/ALG2/TH/PSAP/PIGT/RAB7A/ECHS1/DHRS7B/NPC1/MACROH2A1/HACD2/CDS2/ACBD3/GM2A/NDUFAB1/CYP4A11/CYP4A22/CYP4B1/CYP4F11/CYP4F12/CYP4F2/CYP4F3/CYP4Z1/LTA4H/LCLAT1/ALG1/HINT2/CBR1/GLA/PIK3R4/LIPA/AKR1B10/AKR1B15/AKR1C1/AKR1C2/AKR1C3/AKR1C4/PI4KB/PSAPL1/SFTPB/SULT1A1/SULT1A2/SULT1A3/SULT1A4/SULT1E1/SULT2A1/MLYCD/TPP1/OSBPL8/CRAT/APOE/LPCAT2/SOD1/IMPA1/PRKCD/PLCB4/DGKZ/ACAD8/PLCG2/GPX4/PLA2G15/BPNT1/PGP/PAFAH1B1/PRKCE/MTM1/SULT1B1/PPP2R5A/CPTP/PTGR2/SLC27A6/PRKAG1/HPGD/DGKA/PCCB/HSD17B12/ECHDC2/NFKB1/PLEK/PAM/CHPT1/HACD3/ETFDH/IAH1/DHRS9/PIP4P1/TBXAS1/DECR1/ABCD4/CHP1/SORBS1/DHRS11/PTGR1/SIRT2/ALG11/HMGCL/PNPLA7/ALDH8A1/DPM1/ECHDC1/HEXB/NAGA/HACL1/SGPL1/GPX5/INPP1/SPTLC1/PIGK/DPM3/PIP4K2A/NAAA/ILVBL/AGPAT3/NUDT19/NCEH1/CYB5R3/RDH13/LRP2/IVD/SLC44A2/GCDH/EFR3A/TMEM38B/ACAT1/PIK3CB/CPT2/HTRA2/DGKI/DGKE/STUB1/FIG4/DHRS2/DHRS4
GO:0006974,cellular response to DNA damage stimulus,318,-0.43847874389061137,-2.209676640145708,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0006281,DNA repair,1343,"tags=41%, list=26%, signal=32%",ATP23/MEN1/FMR1/INO80C/PPP1R10/SYF2/VCPIP1/NIPBL/SDE2/AATF/BRIP1/CSNK1E/DHX9/COMMD1/UBR5/TP53BP1/CUL4B/INO80B/PPP5C/PWWP3A/PDS5A/VCP/BAG6/DMAP1/RUVBL1/INIP/USP10/RFC3/INO80D/RAD21/ATRX/SLF1/RFC5/YY1/MAGEF1/ASCC3/CRADD/PAXIP1/POLD1/PIAS4/METTL3/HNRNPK/MRPS26/CDK9/PRPF19/KIN/RNF113A/CHEK2/PARP2/PAGR1/NABP1/RFC4/MRPS11/RFC1/DDX5/MNAT1/NBN/CDKN2AIP/SFPQ/MCRS1/SETD7/MCM3/YJU2/RPA2/MDC1/SNW1/RPL26/NSMCE1/MRE11/POT1/ERCC4/RAD50/RFC2/TOPBP1/HMOX1/CHCHD6/XPA/MTA1/FEN1/MRPS35/RPA1/MLH1/RPA3/RPAIN/PLK1/BCL2L10/GINS4/LIG1/POLG2/MYC/DEK/FXR2/RMI1/TIMELESS/MGME1/PSEN1/MCM6/ERCC1/PCNA/MCM5/MCM4/MCM2/BAZ1B/TICRR/POLE2/CHAF1B/CDKN2D/SIRT1/BRCA1/POLA1/MCM7/ING4/CDC45/SFR1/UHRF1/SMARCAD1/MSH2/TOP2A/GINS2/CDK1/WDHD1/MCM10/ESCO2/ZRANB3/KIF22/CHAF1A/EME1/RAD18/PCLAF/GTSE1
GO:0007059,chromosome segregation,143,-0.5571905478329283,-2.5261375677318334,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:0000280,nuclear division,704,"tags=35%, list=14%, signal=31%",TOP1/CENPF/NDC80/RIOK2/SFPQ/DSCC1/MRE11/ERCC4/UBE2I/PUM1/ANAPC7/FEN1/KIF14/DDX3X/CHTF8/EHMT2/MCMBP/MLH1/PLK1/ZNF207/NUF2/RMI1/RB1/CENPH/NCAPH/SMC2/DLGAP5/BRCA1/NSL1/BIRC5/NCAPD2/AURKB/NCAPG/SPC25/MIS18A/SMARCAD1/PRC1/KIF4A/TOP2A/SPC24/CDCA8/ESCO2/KIF22/EME1/RAD18/KIFC1/KIF23/RACGAP1/CCNE2/BUB1
GO:0010558,negative regulation of macromolecule biosynthetic process,489,-0.3669693998456976,-1.9266350879901173,1e-10,1.321972456216759e-7,1.517394155779436e-8,GO:1902679,negative regulation of RNA biosynthetic process,1187,"tags=36%, list=23%, signal=31%",GZF1/EXOSC10/DIS3L2/PTPN2/TARDBP/RFX5/CNOT2/SCML2/PDS5A/BCL7A/PUS7/GTPBP4/TNRC6A/DMAP1/LRRFIP1/MEPCE/RPL23/YTHDF1/NELFE/KHDRBS1/DNAJC2/PHF10/SIN3A/DHX36/HIRA/ZBTB33/FLCN/RPL13A/XRN1/ZBTB20/PAF1/SHMT1/DAB2/ATRX/YEATS2/MOV10/C1QBP/E2F6/YY1/MAGEA1/MAGEA10/MAGEA11/MAGEA12/MAGEA2/MAGEA2B/MAGEA3/MAGEA4/MAGEA6/MAGEA8/MAGEA9/MAGEA9B/MAGEB1/MAGEB10/MAGEB16/MAGEB17/MAGEB18/MAGEB2/MAGEB3/MAGEB4/MAGEB5/MAGEB6/MAGEC1/MAGEC2/MAGEC3/MAGED1/MAGED2/MAGED4/MAGED4B/MAGEE1/MAGEE2/MAGEF1/MAGEH1/MAGEL2/NDN/TRO/DNAJB1/GPS2/GATAD2A/CREBBP/PIAS4/METTL3/SMARCC2/ZEB1/NCOA5/DAXX/TCF25/HDAC7/NKRF/HMG20A/GNL3L/CENPF/EXOSC8/RBL1/CIC/ATXN1L/FOXG1/MBD2/RFC1/DDX5/TINF2/RPS14/ZFP36L1/PPHLN1/SFPQ/SNW1/E4F1/KLF16/LARP1/YBX1/ERN2/EZH1/ATF7IP/POT1/VHL/CIR1/KHSRP/UBE2I/MEX3D/PUM1/CDC73/EIF4EBP1/PHF21A/PATL1/MEF2A/EXOSC2/TNRC6B/HIF1AN/MTA1/BMPR2/RNF2/HDAC6/DDX3X/WTIP/PRDM2/SMARCA4/EHMT2/MLH1/LDB1/PLK1/SF1/RLIM/RC3H1/SCMH1/VPS72/KLF3/MYC/FXR2/KAT6B/MBD3/NOC2L/NCOR1/TIMELESS/PSEN1/RB1/ETV6/PCNA/EIF6/ORC2/DDX20/EIF4EBP2/DNMT3A/CEBPA/ZNF706/RCOR2/MIER2/SIRT1/BRCA1/BIRC5/ING4/AURKB/METTL14/ZBTB34/UHRF1/ZNF217/CREB1/ZRANB3/GMNN
