ID,Description,setSize,enrichmentScore,NES,pvalue,FDR_corrected_p,BY_corrected_p
GO:0002181,cytoplasmic translation,71,-0.5929493465918596,-2.7064173232616757,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0006082,organic acid metabolic process,258,0.44838763264874537,2.479110679778823,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0006511,ubiquitin-dependent protein catabolic process,170,-0.48302208395020974,-2.5620274995374106,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0009057,macromolecule catabolic process,376,-0.40547946287150805,-2.357068363175103,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0016054,organic acid catabolic process,75,0.633271283831486,2.877667802627683,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0019752,carboxylic acid metabolic process,242,0.43430921131159095,2.3875051284646194,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0019941,modification-dependent protein catabolic process,173,-0.4727364063038307,-2.5071383293395257,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0030163,protein catabolic process,257,-0.41044528431113725,-2.2917787395967517,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0032446,protein modification by small protein conjugation,189,-0.42959002535171853,-2.3221540546466937,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0032787,monocarboxylic acid metabolic process,142,0.4835359333935807,2.4703913861144384,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0043436,oxoacid metabolic process,257,0.4497640078194177,2.4860762794533695,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0043632,modification-dependent macromolecule catabolic process,178,-0.46356300494058766,-2.477436389511697,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0044257,cellular protein catabolic process,221,-0.45672399326134494,-2.5077348215759105,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0044265,cellular macromolecule catabolic process,332,-0.435329556141797,-2.5237471335520643,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0044281,small molecule metabolic process,418,0.3619307288567045,2.1060750084816937,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0044282,small molecule catabolic process,109,0.5811562536333945,2.8550883465272343,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0046395,carboxylic acid catabolic process,74,0.6349720508440657,2.8727916772676503,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0051603,proteolysis involved in cellular protein catabolic process,205,-0.4529135658228678,-2.4615081768541502,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0070647,protein modification by small protein conjugation or removal,220,-0.4416005415383247,-2.4265139396771613,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0072329,monocarboxylic acid catabolic process,39,0.695541034897333,2.7344110627503717,1e-10,1.2905000000000002e-8,1.0883227303148685e-7
GO:0006091,generation of precursor metabolites and energy,149,0.45382244948394,2.358043524463969,2.510363350547015e-10,3.0853560989342124e-8,2.6019861864282943e-7
GO:0009062,fatty acid catabolic process,36,0.709530317769176,2.7598332197691056,3.6229528103334276e-10,4.2503823652138985e-8,3.58449263122182e-7
GO:0006635,fatty acid beta-oxidation,31,0.7137463741003383,2.6686233631903775,4.214630691886102e-9,4.729548615546969e-7,3.988589897271588e-6
GO:0016567,protein ubiquitination,169,-0.41839116619965455,-2.2109047964521347,6.136686768893711e-9,6.599495229381112e-7,5.5655797495079435e-6
GO:0010498,proteasomal protein catabolic process,136,-0.4371611589264848,-2.2466301796232924,1.661939007338342e-8,1.7157858311761042e-6,1.4469807984665976e-5
GO:0019395,fatty acid oxidation,39,0.6355425693225617,2.4985364560998544,2.6593876401615123e-8,2.542177592317357e-6,2.1439051981527348e-5
GO:0034440,lipid oxidation,39,0.6355425693225617,2.4985364560998544,2.6593876401615123e-8,2.542177592317357e-6,2.1439051981527348e-5
GO:0009896,positive regulation of catabolic process,121,-0.4502361053972157,-2.261755367059335,4.6774389008610554e-8,4.134403192157861e-6,3.486683433019567e-5
GO:0031331,positive regulation of cellular catabolic process,106,-0.4606406734395049,-2.253284940045703,4.802925117695296e-8,4.134403192157861e-6,3.486683433019567e-5
GO:0045333,cellular respiration,80,0.5125083118228453,2.365995198392091,4.8055829432288193e-8,4.134403192157861e-6,3.486683433019567e-5
GO:0009060,aerobic respiration,70,0.5236635005795328,2.342775538484161,5.820041536996348e-8,4.845653937737928e-6,4.086505481348264e-5
GO:0006631,fatty acid metabolic process,97,0.470553530076787,2.269664355584652,6.071929160399693e-8,4.8973903634348775e-6,4.130136576327914e-5
GO:0010608,posttranscriptional regulation of gene expression,170,-0.3919552777363599,-2.0789943845567342,8.577232150845816e-8,6.708435206464562e-6,5.657452553304843e-5
GO:0015980,energy derivation by oxidation of organic compounds,95,0.4731317151283153,2.2747317578048163,1.0002173815303983e-7,7.592826652146935e-6,6.40329006809148e-5
GO:0006119,oxidative phosphorylation,50,0.5795886812817095,2.4181160845615177,1.5040515653394115e-7,1.109130597183149e-5,9.353677177854516e-5
GO:0009063,cellular amino acid catabolic process,35,0.6384421634391855,2.4579058831286744,1.7360004788650651e-7,1.2446158988752037e-5,1.0496271005479705e-4
GO:0006401,RNA catabolic process,101,-0.45477264802819756,-2.200837488857908,2.603325785384422e-7,1.79126414067869e-5,1.5106342350240594e-4
GO:0009150,purine ribonucleotide metabolic process,105,0.44789534281293264,2.180542386751345,2.637273821998846e-7,1.79126414067869e-5,1.5106342350240594e-4
GO:0006575,cellular modified amino acid metabolic process,53,0.5512925574577017,2.319688120211529,2.8904505419418624e-7,1.9128853458338327e-5,1.6132015516134661e-4
GO:0009259,ribonucleotide metabolic process,107,0.4438446439344406,2.164842576026485,3.656204274000935e-7,2.3591658077991035e-5,1.9895651090347946e-4
GO:0016042,lipid catabolic process,69,0.5059334022260045,2.259991609821027,4.1420789712517325e-7,2.6074892255611516e-5,2.198984729352433e-4
GO:0006508,proteolysis,372,-0.3020895448103134,-1.7472525441296312,4.3801465684198695e-7,2.6798290858770113e-5,2.2599914045090023e-4
GO:0030258,lipid modification,58,0.5346733456456667,2.298400082818472,4.54041193325982e-7,2.6798290858770113e-5,2.2599914045090023e-4
GO:0006790,sulfur compound metabolic process,104,0.4434658523276158,2.1735614492178152,4.568480425361817e-7,2.6798290858770113e-5,2.2599914045090023e-4
GO:0006629,lipid metabolic process,280,0.327775614461167,1.835507679306234,5.029032925187891e-7,2.8844297733133216e-5,2.4325381528817136e-4
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,113,-0.4395726363664647,-2.172150969225075,5.289112891172955e-7,2.96765225480813e-5,2.5027225142021386e-4
GO:0033865,nucleoside bisphosphate metabolic process,53,0.5393914437984267,2.269611492839636,6.657528486910135e-7,3.506751229533686e-5,2.957363093886961e-4
GO:0033875,ribonucleoside bisphosphate metabolic process,53,0.5393914437984267,2.269611492839636,6.657528486910135e-7,3.506751229533686e-5,2.957363093886961e-4
GO:0034032,purine nucleoside bisphosphate metabolic process,53,0.5393914437984267,2.269611492839636,6.657528486910135e-7,3.506751229533686e-5,2.957363093886961e-4
GO:0006412,translation,265,-0.3300697158216697,-1.854654453308764,7.096824097630722e-7,3.663380599196979e-5,3.0894539913991283e-4
GO:0019693,ribose phosphate metabolic process,114,0.4311650958936062,2.141555403323203,8.098312562658186e-7,4.091404473741198e-5,3.450421145048034e-4
GO:0033108,mitochondrial respiratory chain complex assembly,35,0.6162572949701088,2.37249749087456,8.243046595681606e-7,4.091404473741198e-5,3.450421145048034e-4
GO:0072521,purine-containing compound metabolic process,119,0.4135532968272611,2.0620892294539224,9.207297950369671e-7,4.483780379227192e-5,3.7813251487429483e-4
GO:0006067,ethanol metabolic process,12,0.831704830824254,2.4293658814325574,9.714743623793063e-7,4.6432876468536846e-5,3.915843075909417e-4
GO:0006068,ethanol catabolic process,11,0.8546191717347235,2.437081523361425,1.1270532562557241e-6,5.1965692963283125e-05,4.382444389655517e-4
GO:0043043,peptide biosynthetic process,267,-0.3276319208157583,-1.8392484998428238,1.127500505983671e-6,5.1965692963283125e-05,4.382444389655517e-4
GO:0009894,regulation of catabolic process,257,-0.33017136432785404,-1.8435580627030173,1.226633077035988e-6,5.554280652333131e-5,4.684114594716965e-4
GO:0006402,mRNA catabolic process,84,-0.46423449016965224,-2.158911446200288,1.450122161078975e-6,6.382205749374747e-5,5.382332108942872e-4
GO:0032543,mitochondrial translation,42,0.5774847594728403,2.3078333896624157,1.4589311864126698e-6,6.382205749374747e-5,5.382332108942872e-4
GO:0000956,nuclear-transcribed mRNA catabolic process,53,-0.5349004232920125,-2.3038395409241472,1.6043897829736022e-6,6.901550049758111e-5,5.820312896983701e-4
GO:0044242,cellular lipid catabolic process,52,0.534260648058922,2.23712123601444,2.1196912477926216e-6,8.968726410742224e-5,7.563633331876055e-4
GO:0006974,cellular response to DNA damage stimulus,205,-0.34985279144821746,-1.9013904016772913,2.3392377042571066e-6,9.668047467794248e-5,8.153394666380153e-4
GO:0022904,respiratory electron transport chain,43,0.5663036468994287,2.2698440431840794,2.3598876035297853e-6,9.668047467794248e-5,8.153394666380153e-4
GO:0002183,cytoplasmic translational initiation,20,-0.7157341906889438,-2.4507141556543357,2.8434743426855362e-6,1.1467198872611514e-4,9.670680500661872e-4
GO:0019221,cytokine-mediated signaling pathway,69,-0.49058786650828384,-2.218866716855417,3.1257406293804536e-6,1.2411594714509155e-4,0.001046712177237985
GO:0031329,regulation of cellular catabolic process,223,-0.3371736956257972,-1.8623030802978409,3.4794802624782e-6,1.3606876602206418e-4,0.0011475143816172637
GO:0019646,aerobic electron transport chain,33,0.6085217418182904,2.3147966829910254,3.7552839168309948e-6,1.4466250431851936e-4,0.0012199883120814993
GO:0034655,nucleobase-containing compound catabolic process,124,-0.3956823626244991,-2.003886820958674,4.365727075395903e-6,1.6258228125818727e-4,0.0013711119119700136
