protein,l2FC,Q1,Q3,p,padj
A1CF,-0.4925322032516988,-0.602055129738801,-0.15924784814308168,0.09523809523809523,0.18343155185260446
AAAS,0.1268100784801902,0.026744646583320986,0.3283827328694393,0.2222222222222222,0.32486384030327026
AACS,-0.6450279775577705,-0.7465399892647611,-0.37065867842487066,0.031746031746031744,0.08356167765187983
AADAT,0.2781354047165756,0.1172699260653225,0.41596090223999127,0.15079365079365079,0.24347078842666725
AAK1,0.14147933805021395,-0.05817448538951808,0.17922890101343825,0.6904761904761905,0.7649359858490934
AAMDC,-0.020659033427971707,-0.34084846681276204,0.43945453018416814,1,1
AAMP,0.06939193619679074,-0.07774061614288996,0.1837648515290411,0.5476190476190477,0.6446497917546431
AAR2,0.006022956007871727,-0.04217051243460901,0.1039563677409312,0.8412698412698413,0.8830072597514458
AARS,-0.0659450921633784,-0.25984121640127,0.0700553424767314,0.42063492063492064,0.5304952333640859
AARS2,0.1683703351603505,0.03141670580708933,0.24689033400269977,0.15079365079365079,0.24347078842666725
AARSD1,-0.34275876734784916,-0.6185564094382308,-0.2253232501585103,0.015873015873015872,0.051195958770994504
AASS,0.22713402781619507,0.08115585278283177,0.41370270985214574,0.09523809523809523,0.18343155185260446
AATF,-0.30119733085258105,-0.4349058941115196,-0.1806253620630116,0.05555555555555555,0.1246639413692778
ABAT,-0.21488058783114283,-0.2761556950237676,1.0265644415618311,1,1
ABCA1B,-0.015632702586040992,-0.2451170790095798,0.060894606314290556,0.8412698412698413,0.8830072597514458
ABCA5,0.10323440461701061,-0.15717733286406954,0.19821178630506076,0.8412698412698413,0.8830072597514458
ABCB10,-0.5691679494470314,-0.9991099067890588,0.009728144780378756,0.30952380952380953,0.4197668650793651
ABCB7,-0.053404706553607184,-0.2990558617118886,0.13994845625531127,0.5476190476190477,0.6446497917546431
ABCB8,-0.09453163146111976,-0.23895998392382012,0.25578316656335787,0.8412698412698413,0.8830072597514458
ABCC1,1.0680028376735997,0.6230314367929424,1.736804983246028,0.015873015873015872,0.051195958770994504
ABCC2,0.5365014682587201,-0.16548267370227165,0.7844605209373086,0.5476190476190477,0.6446497917546431
ABCC3,-0.3909666547687287,-0.639410526398688,-0.17246241627121606,0.015873015873015872,0.051195958770994504
ABCC4,-0.19612255164903125,-0.7429633903163797,-0.13839331602225968,0.09523809523809523,0.18343155185260446
ABCD1,0.039288497722150595,-0.06599550500940055,0.17910592577424111,0.6904761904761905,0.7649359858490934
ABCD3A,0.057769882824604935,-0.02524796714304145,0.7922575064330601,0.30952380952380953,0.4197668650793651
ABCD4,0.582476649488779,0.20911007537927873,1.00882557737307,0.15079365079365079,0.24347078842666725
ABCE1,0.02495755318665971,-0.12298490598891121,0.09492459866472913,0.6904761904761905,0.7649359858490934
ABCF1,-0.3971104326752304,-0.5255040587063,-0.3468035252971404,0.007936507936507936,0.034027966263558404
ABCF2,-0.49490113166569216,-0.8694931466674483,-0.39932559990594996,0.007936507936507936,0.034027966263558404
ABCF3,-0.1493553317913161,-0.3829215890707083,-0.03823236108144101,0.15079365079365079,0.24347078842666725
ABHD10B,0.4544275383309504,0.3287461273229688,0.6166113537583904,0.007936507936507936,0.034027966263558404
ABHD11,0.663325654882648,0.4151750442843394,0.7215153370527325,0.007936507936507936,0.034027966263558404
ABHD12B,0.11706188565927889,0.10850421134386679,0.4919215088298401,0.05555555555555555,0.1246639413692778
ABHD14A,-0.22248478952563033,-0.3653704534797626,0.47683627832935116,1,1
ABHD14B,1.06345144492305,0.9822261902433311,1.2276366310488207,0.007936507936507936,0.034027966263558404
ABHD16A,0.19945970332580032,-0.06312247763527878,0.3374780577728984,0.5476190476190477,0.6446497917546431
ABHD4,0.09139096620814868,-0.21657489792148965,0.31974200851692913,1,1
ABHD5A,-1.1838502074958388,-1.242893346195812,-0.8887121400600329,0.007936507936507936,0.034027966263558404
ABI1A,-0.19239553886425043,-0.30607330252273,-0.0913188471080133,0.031746031746031744,0.08356167765187983
ABI1B,-0.05150275498852963,-0.2380340933927627,0.16611775721403177,0.6904761904761905,0.7649359858490934
ABI2B,-0.10433158486196703,-0.20461817292338225,0.0477045110021983,0.8412698412698413,0.8830072597514458
ABI3,0.17473597030845767,-0.08975467206481724,0.3581330951808681,0.42063492063492064,0.5304952333640859
