ID,Description,setSize,enrichmentScore,NES,pvalue,BY_corrected_p,FDR_corrected_p,representative,representative_description,rank,leading_edge,core_enrichment
GO:0000122,negative regulation of transcription by RNA polymerase II,266,-0.4186217403920716,-2.053597367553005,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:1902679,negative regulation of RNA biosynthetic process,1477,"tags=52%, list=28%, signal=39%",CNOT2/RBM10/HDAC9/CBX2/APBB2/MED1/RPL10/CEBPB/IRF2BP2/TCERG1/BCOR/NFATC2/NIPBL/MEN1/FLCN/CHD8/SMARCA2/HDAC1/PTPN2/NCOR2/MOSPD1/SAP130/PLK1/DPF2/ATRX/RFX5/HEXIM1/GZF1/METTL13/NELFE/DMAP1/TPR/RPL23/MEPCE/SIN3A/E2F6/PIAS4/YEATS2/LRRFIP1/ZBTB33/GPS2/PAF1/YY1/MAGEA1/MAGEA10/MAGEA11/MAGEA12/MAGEA2/MAGEA2B/MAGEA3/MAGEA4/MAGEA6/MAGEA8/MAGEA9/MAGEA9B/MAGEB1/MAGEB10/MAGEB16/MAGEB17/MAGEB18/MAGEB2/MAGEB3/MAGEB4/MAGEB5/MAGEB6/MAGEC1/MAGEC2/MAGEC3/MAGED1/MAGED2/MAGED4/MAGED4B/MAGEE1/MAGEE2/MAGEF1/MAGEH1/MAGEL2/NDN/TRO/DDX5/KHDRBS1/ZEB1/DNAJB1/GATAD2A/C1QBP/CREBBP/TCF25/HDAC7/DAB2/MBD2/NCOA5/ATXN1L/RBL1/ZBTB20/RFC1/SFPQ/SNW1/E4F1/VHL/HMG20A/CIR1/HIF1AN/SMARCA4/YBX1/RPS14/FOXG1/ATF7IP/UBE2I/PHF21A/CDC73/MTA1/KLF16/PRDM2/MEF2A/RLIM/EHMT2/RNF2/PCNA/LDB1/EZH1/VPS72/ETV6/RB1/MYC/NOC2L/NCOR1/PSEN1/MBD3/DNMT3A/KLF3/ORC2/DDX20/AURKB/MIER2/CEBPA/SIRT1/UHRF1/ZBTB34/ZNF217
GO:0000278,mitotic cell cycle,324,-0.4555028458354193,-2.3008911931177094,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0000280,nuclear division,1361,"tags=45%, list=26%, signal=35%",DIS3L2/ITGB1/NIPBL/ARL3/PPP5C/MEN1/PPP1R10/USP22/CKS1B/CEP250/SDE2/VCP/RCC2/CUL4B/CDK10/CHMP1B/INTS13/SYF2/AATF/PLK1/ATRX/PDS5A/YEATS4/BUB3/TUBGCP2/KIF18A/NDC80/LSM11/SPICE1/TPR/MIS12/MEPCE/ZWILCH/SIN3A/E2F6/RIOK2/DCTN3/MAD1L1/RAD21/CHMP2B/SLF1/KHDRBS1/CRADD/CDK6/ASNS/MCM3/USP44/DSCC1/MTBP/AURKAIP1/SEPTIN6/SPAST/RPA2/RBL1/NSFL1C/NASP/MNAT1/CHEK2/NABP1/ANLN/UNC119/NBN/KIF14/ZFP36L1/E4F1/CENPF/MDC1/STMN1/CDK13/WEE1/TOM1L2/NLE1/FOXG1/RPL26/KIF2A/UBE2I/TOPBP1/MRE11/ANAPC7/DDX3X/ANGEL2/MCM6/CDC73/PSME3/RPS6/CHTF8/RTF2/RPA3/ANKLE2/PLRG1/NUF2/RNF2/LIG1/ZNF207/PCNA/EIF4EBP1/CLASP1/CEP55/MCM2/RB1/CDC45/MCM4/CCDC61/GINS3/IQGAP3/ZFYVE19/RRM1/CDK4/RPL24/DNMT3A/CENPH/NCAPH/AURKB/SMC2/POLA1/CDKN2D/PBK/SIRT1/NCAPD2/BRCA1/NCAPG/DLGAP5/CDK1/PPP3CA/TICRR/NSL1/KIF20A/KIF15/SPC25/WDHD1/CKS2/MYBL2/KIF4A/CDCA8/MSH2/PRC1/KIF22/EME1/CCNA2/KIFC1/KIF23/CCNE2/RACGAP1/TPX2/GTSE1/BUB1
GO:0000280,nuclear division,149,-0.5109449835529378,-2.3024574590681812,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0000280,nuclear division,1105,"tags=46%, list=21%, signal=37%",PLK1/ATRX/PDS5A/BUB3/KIF18A/NDC80/SPICE1/TPR/MIS12/ZWILCH/BAG6/RIOK2/MAD1L1/RAD21/CHMP2B/SLF1/USP44/DSCC1/MTBP/AURKAIP1/SPAST/NSFL1C/CHEK2/ANLN/KIF14/ERCC4/MLH1/CENPF/CDK13/TOM1L2/KIF2A/UBE2I/RAD50/MRE11/ANAPC7/CHTF8/ANKLE2/EHMT2/NUF2/ZNF207/CLASP1/RMI1/RB1/CCDC61/MND1/RPL24/NCAPH/AURKB/SMC2/NCAPD2/NCAPG/DLGAP5/NSL1/KIF15/CKS2/MYBL2/KIF4A/TOP2A/CDCA8/PRC1/KIF22/EME1/KIFC1/KIF23/CCNE2/RACGAP1/TPX2/BUB1
GO:0006259,DNA metabolic process,353,-0.42822847270658987,-2.1828659616534982,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0006281,DNA repair,1358,"tags=43%, list=26%, signal=34%",NIPBL/PPP5C/MEN1/PPP1R10/UBR5/TFIP11/NVL/CIZ1/HSPD1/DNAJC2/POLE4/CCT7/VCP/USP10/INO80C/DHX9/CUL4B/RFC5/EXOSC10/SUPV3L1/ATRX/PDS5A/TP53BP1/KPNA1/XRN2/ENDOG/COMMD1/PWWP3A/AIFM1/RUVBL1/RFC3/INO80B/XRN1/RNF113A/DMAP1/BAZ2A/INO80D/ASCC3/PTGES3/PIAS4/PAXIP1/RAD21/YY1/MAGEF1/SLF1/PARP2/CCT3/POLD1/SUB1/GATAD2A/MCM3/PRIM2/INIP/PRPF19/KIN/YLPM1/DSCC1/RLF/TOP1/CDK9/MBD2/RPA2/PAGR1/GLRX2/GNL3L/MNAT1/RFC4/CHEK2/RFC1/NABP1/NBN/RNASEH1/SFPQ/TINF2/MCRS1/ERCC4/POT1/MLH1/CENPF/MDC1/ATF7IP/RAD50/RFC2/TOPBP1/MRE11/NSMCE1/GINS4/ORC3/RPA1/FEN1/LRWD1/MCM6/MTA1/XPA/CHTF8/RTF2/RPA3/EHMT2/LIG1/PCNA/RPAIN/MCM5/BMPR2/MCM2/DEK/RMI1/DDX21/TIMELESS/CDC45/MCM4/MYC/GINS3/PRIM1/POLE2/ISG20/MND1/POLG2/MCM7/MBD3/MGME1/DNMT3A/ORC2/AURKB/POLA1/CDKN2D/SIRT1/UHRF1/BRCA1/ERCC1/CHAF1B/CDK1/TFRC/SMARCAD1/SFR1/TICRR/GINS2/WDHD1/TET1/MIS18A/TOP2A/MSH2/MCM10/ESCO2/CHAF1A/KIF22/EME1/POLA2/HELLS/RAD18/ZRANB3/CCNE2/PCLAF
GO:0006260,DNA replication,122,-0.7125775414399926,-3.1279880477068027,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0006281,DNA repair,857,"tags=59%, list=16%, signal=50%",POLD1/MCM3/PRIM2/KIN/DSCC1/TOP1/CDK9/RPA2/NASP/BRPF3/RFC4/RFC1/NBN/RBMS1/STOML2/E4F1/MCMBP/RFC2/TOPBP1/MRE11/GINS4/ORC3/RPA1/FEN1/LRWD1/NAP1L1/MCM6/CHTF8/RTF2/RPA3/EHMT2/LIG1/PCNA/RPAIN/MCM5/SSBP1/MCM2/RMI1/DDX21/TIMELESS/CDC45/MCM4/GINS3/PRIM1/POLE2/TWNK/RRM1/POLG2/MCM7/MGME1/ORC2/CDK2AP1/POLA1/ING4/OBI1/CHAF1B/CDK1/TICRR/GINS2/WDHD1/GMNN/DUT/MCM10/ESCO2/CHAF1A/EME1/POLA2/CCNA2/ZRANB3/CCNE2/RRM2/PCLAF
GO:0006261,DNA-dependent DNA replication,75,-0.742265300263452,-2.995098612363995,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0006281,DNA repair,857,"tags=65%, list=16%, signal=55%",POLD1/MCM3/PRIM2/DSCC1/CDK9/RFC4/RFC1/NBN/STOML2/MCMBP/RFC2/TOPBP1/MRE11/GINS4/ORC3/RPA1/FEN1/LRWD1/MCM6/CHTF8/RTF2/LIG1/PCNA/RPAIN/MCM5/SSBP1/MCM2/DDX21/TIMELESS/CDC45/MCM4/GINS3/PRIM1/POLE2/TWNK/POLG2/MCM7/MGME1/ORC2/CDK2AP1/POLA1/TICRR/WDHD1/GMNN/MCM10/EME1/POLA2/ZRANB3/CCNE2
GO:0006281,DNA repair,211,-0.4653534378644656,-2.2109267518579307,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0006281,DNA repair,1381,"tags=47%, list=27%, signal=36%",ATP23/CSNK1E/NIPBL/PPP5C/MEN1/UBR5/TFIP11/VCP/USP10/INO80C/DHX9/CUL4B/RFC5/ATRX/PDS5A/TP53BP1/COMMD1/PWWP3A/RUVBL1/RFC3/INO80B/RNF113A/DMAP1/INO80D/ASCC3/PIAS4/PAXIP1/RAD21/YY1/MAGEF1/SLF1/PARP2/POLD1/MCM3/INIP/PRPF19/KIN/CDK9/RPA2/PAGR1/MNAT1/RFC4/CHEK2/RFC1/NABP1/NBN/SFPQ/MCRS1/ERCC4/POT1/MLH1/MDC1/RAD50/RFC2/TOPBP1/MRE11/NSMCE1/GINS4/RPA1/FEN1/MCM6/MTA1/XPA/RPA3/LIG1/PCNA/RPAIN/MCM5/MCM2/DEK/RMI1/TIMELESS/CDC45/MCM4/POLE2/POLG2/MCM7/MGME1/POLA1/CDKN2D/SIRT1/UHRF1/BRCA1/ERCC1/CHAF1B/CDK1/SMARCAD1/SFR1/TICRR/GINS2/WDHD1/MSH2/ESCO2/CHAF1A/KIF22/EME1/RAD18/ZRANB3/PCLAF
GO:0006629,lipid metabolic process,438,0.3827827115490688,1.9268228059465384,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0006082,organic acid metabolic process,1518,"tags=47%, list=29%, signal=36%",AGPAT4/GGT5/FABP6/HAO2/OXSM/INS/LAMTOR1/SLC16A1/PISD/NPC2/ALG2/PSAP/DPEP1/PIGT/RAB7A/CDS2/DHRS7B/LIPA/MACROH2A1/NPC1/GM2A/LCLAT1/NDUFAB1/ACBD3/HACD2/LTA4H/TH/OSBPL8/CYP4A11/CYP4A22/CYP4B1/CYP4F11/CYP4F12/CYP4F2/CYP4F3/CYP4Z1/TPP1/PSAPL1/SFTPB/ECHS1/CUBN/GLA/ALG1/CBR1/PI4KB/PIK3R4/MLYCD/LPCAT2/AKR1B10/AKR1B15/AKR1C1/AKR1C2/AKR1C3/AKR1C4/PLCG2/ACAD8/PRKCD/ABCD4/HINT2/IMPA1/PLA2G15/DGKZ/SULT1A1/SULT1A2/SULT1A3/SULT1A4/SULT1E1/SULT2A1/DGKA/PAFAH1B1/SOD1/BPNT1/MTM1/NFKB1/PGP/PRKCE/DPM3/PLCB4/HSD17B12/PTGR2/CRAT/PIP4P1/CPTP/PPP2R5A/HACD3/PLEK/PRKAG1/GPX4/PAM/CHPT1/HPGD/IAH1/TBXAS1/ALG11/SORBS1/DHRS9/HEXB/CHP1/PTGR1/DHRS11/PNPLA7/SGPL1/ECHDC1/SPTLC1/DPM1/PIP4K2A/SIRT2/NAAA/INPP1/ECHDC2/PIGK/GPX5/SLC27A6/SULT1B1/HACL1/ALDH8A1/SLC44A2/HMGCL/PCCB/AGPAT3/DECR1/NUDT19/PLBD1/NCEH1/APOE/CYB5R3/EFR3A/PIK3CB/FIG4/ETFDH/NAGA/PTGIS/ILVBL/PLA2G7/RDH13/DHRS2/DHRS4/HTRA2/MGST3/ECI1/LDLRAP1/DGKE/INPP5D/STUB1/ACSS2/VLDLR/ACAT1/TMEM38B/MGLL/MTOR/SMG1/MAPK3/GCDH/LYPLA2/PTGES2/PLCB3/PIK3CA/PLCL2/DDHD2/PDK1/ASAH1/IVD/GOLM1/OCRL/OSBP/DGKI/ATP5F1A/IDI1/IDI2/TTC7B/FAAH2/TECR/LYN/DBI/ALDH3B1/LPCAT1/SACM1L/UGT1A3/UGT1A4/UGT1A7/UGT1A8/UGT1A9/UGT2A1/UGT2A2/UGT2B10/UGT2B11/UGT2B15/UGT2B17/UGT2B28/UGT2B4/UGT2B7/HDHD5/SCP2/FDXR/ACADS/ACLY/SLC35C1/SCPEP1/ACADSB/CEPT1/CPT2/PLD1/PIK3R1/PI4K2A/RETSAT/KDSR
GO:0006974,cellular response to DNA damage stimulus,318,-0.4171870529916782,-2.104122299095834,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0006281,DNA repair,1381,"tags=41%, list=27%, signal=32%",ATP23/CSNK1E/NFATC2/NIPBL/PPP5C/MEN1/PPP1R10/UBR5/TFIP11/SDE2/FMR1/VCP/USP10/INO80C/DHX9/CUL4B/RFC5/SYF2/AATF/PLK1/ATRX/PDS5A/TP53BP1/COMMD1/PWWP3A/RUVBL1/RFC3/INO80B/RNF113A/DMAP1/INO80D/ASCC3/BAG6/PIAS4/PAXIP1/RAD21/YY1/MAGEF1/DDX5/SLF1/PARP2/CRADD/MRPS26/POLD1/MCM3/INIP/PRPF19/HNRNPK/KIN/CDK9/RPA2/PAGR1/MRPS11/METTL3/MNAT1/RFC4/CHEK2/RFC1/NABP1/NBN/SFPQ/CDKN2AIP/MCRS1/ERCC4/SNW1/POT1/MLH1/MDC1/YJU2/HMOX1/SETD7/RPL26/RAD50/RFC2/TOPBP1/MRE11/NSMCE1/GINS4/RPA1/FEN1/MCM6/CHCHD6/MTA1/XPA/RPA3/MRPS35/BCL2L10/LIG1/PCNA/RPAIN/MCM5/MCM2/FXR2/DEK/RMI1/TIMELESS/CDC45/MCM4/MYC/POLE2/POLG2/PSEN1/MCM7/MGME1/POLA1/CDKN2D/SIRT1/ING4/UHRF1/BAZ1B/BRCA1/ERCC1/CHAF1B/CDK1/SMARCAD1/SFR1/TICRR/GINS2/WDHD1/TOP2A/MSH2/MCM10/ESCO2/CHAF1A/KIF22/EME1/RAD18/ZRANB3/PCLAF/GTSE1
GO:0007059,chromosome segregation,143,-0.5198306998338161,-2.329502786427222,1e-10,1.748061861022257e-7,2.0064705882352944e-8,GO:0000280,nuclear division,635,"tags=45%, list=12%, signal=41%",PLK1/ATRX/PDS5A/BUB3/SRPK1/KIF18A/NDC80/SPICE1/TPR/MIS12/ZWILCH/BAG6/RIOK2/MAD1L1/RAD21/CHMP2B/SLF1/USP44/DSCC1/TOP1/KIF14/SFPQ/ERCC4/MLH1/CENPF/UBE2I/MCMBP/MRE11/ANAPC7/PUM1/FEN1/DDX3X/CHTF8/EHMT2/NUF2/ZNF207/RMI1/RB1/CENPH/NCAPH/AURKB/SMC2/NCAPD2/BIRC5/BRCA1/NCAPG/DLGAP5/SMARCAD1/SPC24/NSL1/SPC25/MIS18A/KIF4A/TOP2A/CDCA8/ESCO2/PRC1/KIF22/EME1/RAD18/KIFC1/KIF23/CCNE2/RACGAP1/BUB1
