protein,l2FC,Q1,Q3,p,padj
A1CF,-0.5022594129444293,-0.6227111590023711,-0.14739241994566132,0.1111111111111111,0.17444856730571015
AAAS,0.09138872660327735,-0.03163180950798594,0.21275606124229274,0.4126984126984127,0.5053297619765336
AACS,-0.5078433279913206,-0.6529192978666529,-0.25270438881481727,0.06349206349206349,0.11115626321212045
AADAT,0.19901488766828734,0.04991460382974111,0.320284230324952,0.2857142857142857,0.3744986862121421
AAK1,0.041652426330347936,-0.08170893740954366,0.16219796642219553,1,1
AAMDC,-0.10754811036117928,-0.6452173226159319,0.4539659492880288,0.9047619047619047,0.9272234476594151
AAMP,0.11185634831554125,0.03229074583926028,0.2699123466795612,0.19047619047619047,0.2713073447346538
AAR2,0.005463442805023533,-0.0438175747897418,0.11797450077741622,0.9047619047619049,0.9272234476594151
AARS,0.02536297740578064,-0.2541835120253051,0.12460876946664445,0.7301587301587302,0.7914144417506569
AARS2,0.1628715054994352,0.008071822262143868,0.1775456424128592,0.2857142857142857,0.3744986862121421
AARSD1,-0.3186342295740019,-0.4788583042876926,-0.15658630719038502,0.031746031746031744,0.06471563833804123
AASS,0.19996742636195108,0.058802969420819196,0.2869047736645225,0.19047619047619047,0.2713073447346538
AATF,-0.333277677381723,-0.4576797456914887,-0.2904018459370432,0.015873015873015872,0.03882236902468116
ABAT,-0.24396183599124655,-0.5903158783883349,0.5003746138314433,0.7301587301587302,0.7914144417506569
ABCA1B,0.021714597810493785,-0.13899247485023025,0.0783566799929587,0.9047619047619049,0.9272234476594151
ABCA5,0.14167775976240016,-0.029150987000388984,0.23712197054473005,0.4126984126984127,0.5053297619765336
ABCB10,-0.7841389281180433,-1.0612986384131142,-0.31850035870305327,0.1111111111111111,0.17444856730571015
ABCB7,-0.028571568801169178,-0.305180061283564,0.20227629553140325,0.7301587301587302,0.7914144417506569
ABCB8,-0.13446406822022539,-0.24399138181424984,0.13692461065670258,0.4126984126984127,0.5053297619765336
ABCC1,1.4024039104598138,0.9691569211702951,1.8400973943416385,0.015873015873015872,0.03882236902468116
ABCC2,0.2726356456328105,-0.17752128755946117,0.6151737279264742,0.9047619047619049,0.9272234476594151
ABCC3,-0.30844460749941405,-0.46957647705544403,-0.13506863645716827,0.031746031746031744,0.06471563833804123
ABCC4,-0.2996692106212713,-0.931183208311714,-0.1945354700260311,0.015873015873015872,0.03882236902468116
ABCD1,-0.00657374103856867,-0.15800108340166386,0.13589058947257726,1,1
ABCD3A,0.1522326829694549,-0.027899578574802852,1.0496254909942389,0.4126984126984127,0.5053297619765336
ABCD4,0.7956511134309245,0.5541547652470253,1.0198220368069357,0.015873015873015872,0.03882236902468116
ABCE1,0.04643675374234135,-0.007333162710065899,0.17181579264717417,0.2857142857142857,0.3744986862121421
ABCF1,-0.45034677409349655,-0.5380403357942738,-0.35840707668807514,0.015873015873015872,0.03882236902468116
ABCF2,-0.4655549474887053,-0.7595738781545549,-0.3683133251744817,0.015873015873015872,0.03882236902468116
ABCF3,-0.11147268662814724,-0.2564769479908309,-0.01061832732471224,0.2857142857142857,0.3744986862121421
ABHD10B,0.5051988739651918,0.32766401296143144,0.6683240614312078,0.015873015873015872,0.03882236902468116
