protein,l2FC,Q1,Q3,p,padj
AARS,-0.8187225559997469,-1.1061141257373865,-0.4328314306072265,0.031746031746031744,0.16535845107273678
ABI3BP,0.465059614044792,0.29927921461761287,0.7916302843171259,0.031746031746031744,0.16535845107273678
ACTB,-0.12057040475275116,-0.22206051114783065,0.45434449874021965,0.8412698412698413,0.8900935374149659
ACTG1,-0.03486691014780163,-0.19586130384205092,0.5874934337666886,1,1
ACTN4,-0.45294967326193003,-0.7865628434162488,-0.2747223309109934,0.031746031746031744,0.16535845107273678
ACTR2,0.43413302509460117,-0.4483493016725415,1.406830150755841,0.6904761904761905,0.8081128747795414
ADH5,-0.3785889166955734,-0.4641508762192643,0.25385355783697605,0.6904761904761905,0.8081128747795414
ADPRH,0.7021107826619346,-0.1301948602341234,0.9699345886025448,0.6904761904761905,0.8081128747795414
ADSSL1,-0.9043963371046644,-1.1306742432457497,0.21265155300946859,0.30952380952380953,0.5024461839530333
AEBP1,0.12291009562650679,-0.7052963616981867,0.6384869990726934,0.8412698412698413,0.8900935374149659
AGR2,-0.8090014015610372,-1.423822311623418,-0.44032723176930233,0.015873015873015872,0.1122956645344705
AGT,1.3880181913385172,0.6849454054989916,1.5801144417520838,0.05555555555555555,0.21944444444444444
AHNAK,0.7173595266025643,0.2876422450166487,0.8387462105481625,0.09523809523809523,0.28937728937728935
AHSG,1.852313556722315,1.6886800712366217,2.7887699078057935,0.007936507936507936,0.08956916099773243
AK1,-0.716279101974397,-1.6730572603080809,-0.5035125045698479,0.05555555555555555,0.21944444444444444
AK2,0.6226684919808765,-0.07845104292792193,0.7953435936487097,0.30952380952380953,0.5024461839530333
ALAD,-0.09893946470704407,-0.5658917988382406,0.2121060079005872,0.8412698412698413,0.8900935374149659
ALDH9A1,-0.18317808048119488,-0.22749120451717175,0.3927794888989773,1,1
ALDOAA,-0.9710438910159631,-1.5299021573412688,-0.5215518751937438,0.031746031746031744,0.16535845107273678
ALDOB,0.3071572061041472,-0.13247013284768094,0.5083245888266372,0.5476190476190477,0.6959019532746075
ALDOCB,-0.4796335979712474,-0.8771287733823208,0.06589587086710935,0.30952380952380953,0.5024461839530333
AMBP,0.1791691716011634,0.01100473862681639,0.6033603921252784,0.2222222222222222,0.42818428184281837
AMH,0.774556866585165,-1.1616708284662458,1.0413619897581619,0.5476190476190477,0.6959019532746075
AMY1C,0.9223224693087708,0.31817225409849215,1.2782561394046716,0.09523809523809523,0.28937728937728935
