protein,l2FC,Q1,Q3,p,padj
AARS,-0.6552319375597939,-0.9246326233191575,-0.36842816219940167,0.06349206349206349,0.15923406399596876
ABI3BP,0.41867911222597165,0.23565424915064703,0.6204215770331039,0.06349206349206349,0.15923406399596876
ACTB,-0.12819671140270472,-0.3876655748722371,0.1582258000841561,0.5555555555555556,0.6822107081174439
ACTG1,-0.11536410699492627,-0.22597288691313544,0.12028326228315533,0.7301587301587302,0.8220789503449837
ACTN4,-0.6046426327413066,-0.8619065520875031,-0.32201697926572326,0.031746031746031744,0.10825625214114422
ACTR2,0.3641176880387178,-0.5654531082365408,0.6443007278710273,1,1
ADH5,-0.42090179508505443,-0.5283639660948776,-0.1655555284317427,0.2857142857142857,0.45445829338446786
ADPRH,0.18785327518552997,-0.3270637878277758,0.9073552717591942,1,1
ADSSL1,-1.0129229744627999,-1.197698283388486,-0.43997663460568326,0.06349206349206349,0.15923406399596876
AEBP1,-0.29119313303583994,-0.7158162526227931,0.15088107572384102,0.9047619047619047,0.946704509618417
AGR2,-0.6246643166651697,-1.1055615116358757,-0.35486112967839256,0.031746031746031744,0.10825625214114422
AGT,1.3961554383412427,0.8992009330493103,1.6564010579028992,0.015873015873015872,0.075998075998076
AHNAK,0.7780528685753616,0.29753317974934745,0.9199547938113666,0.06349206349206349,0.15923406399596876
AHSG,1.7841308274663739,1.6389772771287436,2.1510463109682965,0.015873015873015872,0.075998075998076
AK1,-0.6928762221200024,-1.2108233062514282,-0.44349089861657287,0.1111111111111111,0.2351190476190476
AK2,0.5190681298648538,-0.09179914659745414,0.7503574198479162,0.4126984126984127,0.5653729699972474
ALAD,-0.3324156317726441,-0.6159026795946669,0.0472361059385058,0.4126984126984127,0.5653729699972474
ALDH9A1,-0.20203309727476082,-0.24284452464844808,0.1085608950526149,0.5555555555555556,0.6822107081174439
ALDOAA,-0.8433401452292237,-1.1947692432553376,-0.4287494853760343,0.06349206349206349,0.15923406399596876
ALDOB,0.21477702330600223,-0.3837171047499779,0.5518467461545891,0.7301587301587302,0.8220789503449837
ALDOCB,-0.47022237694704216,-0.6573131148056826,0.12651276922659616,0.5555555555555556,0.6822107081174439
AMBP,0.20541130820135578,0.08061813812713492,0.7020801776391101,0.1111111111111111,0.2351190476190476
AMH,0.8480595893580336,-0.3871371947037976,1.1039196701212335,0.2857142857142857,0.45445829338446786
AMY1C,1.0624498416350399,0.6384434390934404,1.6446863559764404,0.015873015873015872,0.075998075998076
ANXA11A,-0.4883177103969665,-0.5446889031787623,-0.19830963206744778,0.06349206349206349,0.15923406399596876
ANXA11B,-0.3609786691556103,-0.7204454969600045,-0.2621232711708954,0.015873015873015872,0.075998075998076
ANXA13,0.06855078990637864,-0.5749509371034311,0.22304709948318102,0.9047619047619047,0.946704509618417
ANXA1A,-1.001537422991614,-1.5079140730096707,-0.3218020616013444,0.06349206349206349,0.15923406399596876
ANXA2A,-0.3640055251467338,-0.6222728278871879,0.11331135324590935,0.2857142857142857,0.45445829338446786
ANXA4,0.9481444992757204,0.39017690567757457,1.3144059527550214,0.031746031746031744,0.10825625214114422
ANXA5B,-0.33435620381210285,-0.7471680878977525,0.34630715667258727,0.7301587301587302,0.8220789503449837
APOA1,0.44097351200086976,-0.4681571116319452,0.8454312021891592,0.5555555555555556,0.6822107081174439
APOB,1.338327647568299,0.30489443978426056,2.1683924435306388,0.19047619047619047,0.3368869936034115
APOC2,0.24487625637100408,-0.07983205067913923,1.4127422369915346,0.4126984126984127,0.5653729699972474
APOD,1.1118151230901976,0.6791275212078101,1.5072569052356766,0.015873015873015872,0.075998075998076
APOEA,0.2659816961115311,-0.6442031033165367,1.4994263032887218,0.5555555555555556,0.6822107081174439
APOEB,0.05901801107379612,-0.4825586725866984,0.9995013704586553,1,1
