p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,external_gene_name,ensembl_gene_id,description,human_ortholog,humangene,human_description
1.9062017604190266e-53,-4.683779269722876,0,0.9,1.3791369736631657e-49,plek,plek,ENSNFUG00015017717,pleckstrin,ENSG00000115956,PLEK,pleckstrin
2.0370993663495046e-51,-5.11084237230077,0.043,0.943,1.4738413915538666e-47,OLA.7015,OLA.7015,ENSNFUG00015009753,deoxyribonuclease-1-like,,NA,NA
1.0659574210379925e-50,-5.364920584972631,0.048,0.943,7.712201941209876e-47,ENSNFUG00015020842,,ENSNFUG00015020842,NA,,NA,NA
1.9855052371408587e-49,-5.5962844247856305,0,0.843,1.4365130390714112e-45,F13A1B,F13A1B,ENSNFUG00015022473,coagulation factor XIII A chain,ENSG00000124491,F13A1,coagulation factor XIII A chain
1.9263004919134938e-48,-4.200146107935636,0,0.829,1.3936784058994128e-44,pmp22b,pmp22b,ENSNFUG00015025265,peripheral myelin protein 22b,ENSG00000109099,PMP22,peripheral myelin protein 22
3.2888543371216936e-48,-5.308119678228054,0.053,0.914,2.379486112907545e-44,ENSNFUG00015007883,,ENSNFUG00015007883,myosin light polypeptide 6-like,ENSG00000092841,MYL6,myosin light chain 6
3.2888543371216936e-48,-5.308119678228054,0.053,0.914,2.379486112907545e-44,ENSNFUG00015007883,,ENSNFUG00015007883,myosin light polypeptide 6-like,ENSG00000196465,MYL6B,myosin light chain 6B
1.9070748060145516e-46,-4.221155004343574,0.072,0.929,1.3797686221515282e-42,CFL1L,CFL1L,ENSNFUG00015006876,"destrin, actin depolymerizing factor",,NA,NA
1.5987420973671303e-45,-4.226275861533922,0,0.786,1.1566899074451188e-41,tpm4a,tpm4a,ENSNFUG00015024661,tropomyosin 4,ENSG00000167460,TPM4,tropomyosin 4
2.353059733538112e-44,-3.7179789871078084,0.029,0.829,1.7024387172148239e-40,ak1,ak1,ENSNFUG00015000272,adenylate kinase 1,ENSG00000106992,AK1,adenylate kinase 1
4.3382191817947586e-44,-5.9366109601911345,0.01,0.786,3.1387015780285078e-40,ENSNFUG00015006466,NA,NA,NA,NA,NA,NA
2.266862504636948e-43,-4.725989246449005,0.211,0.986,1.640075022104832e-39,MYL12.2,MYL12.2,ENSNFUG00015006405,"myosin regulatory light chain 2, smooth muscle minor isoform",ENSG00000118680,MYL12B,myosin light chain 12B
2.266862504636948e-43,-4.725989246449005,0.211,0.986,1.640075022104832e-39,MYL12.2,MYL12.2,ENSNFUG00015006405,"myosin regulatory light chain 2, smooth muscle minor isoform",ENSG00000101608,MYL12A,myosin light chain 12A
1.8203873384033326e-42,-3.9175774916397104,0.029,0.8,1.317050239334811e-38,GMFG,GMFG,ENSNFUG00015001975,glia maturation factor gamma,ENSG00000130755,GMFG,glia maturation factor gamma
8.586367915836661e-41,-4.5924619179103265,0,0.714,6.2122371871078246e-37,ENSNFUG00015005676,,ENSNFUG00015005676,tropomyosin alpha-1 chain-like,,NA,NA
