p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,external_gene_name,ensembl_gene_id,description,human_ortholog,humangene,human_description
1.2894897843386106e-201,-3.324922100044495,0.131,0.985,9.329458589689847e-198,si:dkey-15h8.17,si:dkey-15h8.17,ENSNFUG00015020566,uncharacterized LOC107388016,,NA,NA
6.225525681513367e-188,-3.405737353772902,0.128,0.948,4.504167830574921e-184,ube2c.1,NA,NA,NA,NA,NA,NA
1.4505103515866135e-186,-3.179253378170663,0.014,0.837,1.0494442393729149e-182,CENPF,CENPF,ENSNFUG00015005957,centromere protein F,ENSG00000117724,CENPF,centromere protein F
2.8894144830869215e-182,-2.736210551214988,0.16,0.951,2.0904913785133877e-178,tuba1a,tuba1a,ENSNFUG00015020306,tubulin alpha-1A chain,ENSG00000167552,TUBA1A,tubulin alpha 1a
1.8357073500440423e-179,-2.9112994381777306,0.078,0.886,1.3281342677568647e-175,CDK1,CDK1,ENSNFUG00015006461,cyclin dependent kinase 1,ENSG00000170312,CDK1,cyclin dependent kinase 1
4.166836599457425e-178,-2.7173451118070577,0.162,0.956,3.014706279707447e-174,CKS2,CKS2,ENSNFUG00015024930,cyclin-dependent kinases regulatory subunit 1-like,ENSG00000123975,CKS2,CDC28 protein kinase regulatory subunit 2
2.325725300857559e-172,-2.7342008376279403,0.061,0.854,1.682662255170444e-168,top2a,top2a,ENSNFUG00015008345,DNA topoisomerase II alpha,ENSG00000131747,TOP2A,DNA topoisomerase II alpha
2.058204235145716e-167,-2.224400741308374,0.014,0.778,1.4891107641279256e-163,CCNA2,CCNA2,ENSNFUG00015002286,cyclin A2,ENSG00000145386,CCNA2,cyclin A2
6.162082398320338e-164,-2.47197626159562,0.025,0.785,4.458266615184764e-160,si:ch211-266i6.3,si:ch211-266i6.3,ENSNFUG00015008179,cytoskeleton-associated protein 2-like,ENSG00000136108,CKAP2,cytoskeleton associated protein 2
1.1183828974396362e-162,-2.729257473647396,0.565,0.985,8.091500262975768e-159,H2AFVA,H2AFVA,ENSNFUG00015016651,histone H2A.V,ENSG00000105968,H2AZ2,H2A.Z variant histone 2
1.1144000473875375e-160,-2.316877280944657,0.044,0.8,8.062684342848834e-157,TPX2,TPX2,ENSNFUG00015006285,TPX2 microtubule nucleation factor,ENSG00000088325,TPX2,TPX2 microtubule nucleation factor
1.3792008451245927e-160,-2.207185445065757,0.013,0.751,9.978518114476428e-157,ENSNFUG00015003589,,ENSNFUG00015003589,nuclear mitotic apparatus protein 1,,NA,NA
5.5691605262235386e-157,-2.791745462936154,0.829,0.985,4.02928764072273e-153,H3F3B.1,H3F3B.1,ENSNFUG00015016216,histone H3.3,,NA,NA
5.5691605262235386e-157,-2.791745462936154,0.829,0.985,4.02928764072273e-153,H3F3B.1,H3F3B.1,ENSNFUG00015021467,histone H3.3,,NA,NA
5.5691605262235386e-157,-2.791745462936154,0.829,0.985,4.02928764072273e-153,H3F3B.1,H3F3B.1,ENSNFUG00015024472,histone H3.3,ENSG00000132475,H3-3B,H3.3 histone B
5.5691605262235386e-157,-2.791745462936154,0.829,0.985,4.02928764072273e-153,H3F3B.1,H3F3B.1,ENSNFUG00015024472,histone H3.3,ENSG00000188375,H3-5,H3.5 histone
8.926399370417904e-157,-3.7188640045617536,0.154,0.877,6.458249944497353e-153,KPNA2.1,NA,NA,NA,NA,NA,NA
2.363419132678655e-156,-2.032635241971842,0.943,1,1.7099337424930067e-152,ENSNFUG00015008882,,ENSNFUG00015008882,tubulin alpha-1C chain-like,,NA,NA
2.5699481779517743e-156,-2.1514205598027223,0.08,0.842,1.8593575067481088e-152,SPC24,SPC24,ENSNFUG00015017416,SPC24 component of NDC80 kinetochore complex,ENSG00000161888,SPC24,SPC24 component of NDC80 kinetochore complex
1.975865372526238e-144,-1.9898874481793938,0.057,0.775,1.4295385970227333e-140,ENSNFUG00015001864,,ENSNFUG00015001864,NA,ENSG00000128944,KNSTRN,kinetochore localized astrin (SPAG5) binding protein
4.272141162694562e-144,-1.9626437961182837,0.803,0.998,3.090894131209516e-140,HMGB2A,HMGB2A,ENSNFUG00015001170,high mobility group protein B2-like,ENSG00000164104,HMGB2,high mobility group box 2
1.0127628938603162e-141,-1.9196859896642502,0.067,0.775,7.327339537079389e-138,PANE1,PANE1,ENSNFUG00015018910,centromere protein M,ENSG00000100162,CENPM,centromere protein M
2.6174462373038647e-139,-2.1116728980291413,0.168,0.879,1.8937223526893462e-135,ENSNFUG00015024687,,ENSNFUG00015024687,NA,ENSG00000149503,INCENP,inner centromere protein
