p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,datagenes,external_gene_name,ensembl_gene_id,description,human_ortholog,humangene,human_description
0,3.0901595438863385,0.978,0.319,0,0,ENSNFUG00015003039,,ENSNFUG00015003039,NA,,NA,NA
0,2.20905237548842,0.996,0.465,0,0,ENSNFUG00015003153,,ENSNFUG00015003153,NA,ENSG00000152672,CLEC4F,C-type lectin domain family 4 member F
0,2.1111559906808415,1,0.496,0,0,ENSNFUG00015020436,,ENSNFUG00015020436,NA,,NA,NA
0,2.0924415069678903,0.925,0.351,0,0,LGALS1,LGALS1,ENSNFUG00015001997,beta-galactoside-binding lectin-like,ENSG00000100079,LGALS2,galectin 2
0,2.0653671081548026,0.969,0.382,0,0,CNFN,CNFN,ENSNFUG00015000488,cornifelin-like,,NA,NA
0,2.062082678842212,0.858,0.332,0,0,EMB,EMB,ENSNFUG00015024325,embigin,ENSG00000170571,EMB,embigin
0,2.032990685067534,1,0.389,0,0,OLA.17191,OLA.17191,ENSNFUG00015016623,eosinophil peroxidase-like,ENSG00000121053,EPX,eosinophil peroxidase
0,1.9584641081796028,0.987,0.625,0,0,ENSNFUG00015019771,,ENSNFUG00015019771,NA,ENSG00000233276,GPX1,glutathione peroxidase 1
0,1.9536410375425932,0.95,0.412,0,0,ENSNFUG00015010583,,ENSNFUG00015010583,NA,,NA,NA
0,1.926727036965599,0.953,0.387,0,0,ncf2,ncf2,ENSNFUG00015016924,neutrophil cytosolic factor 2,ENSG00000116701,NCF2,neutrophil cytosolic factor 2
0,1.8237122446044105,0.918,0.566,0,0,prdx1,prdx1,ENSNFUG00015009619,peroxiredoxin 1,ENSG00000117450,PRDX1,peroxiredoxin 1
0,1.7922611998541598,0.936,0.486,0,0,GPI.1,NA,NA,NA,NA,NA,NA
0,1.7878634939088829,0.74,0.369,0,0,GLT25D1.1,NA,NA,NA,NA,NA,NA
0,1.7506329950165318,0.566,0.209,0,0,PPP1R14AA,PPP1R14AA,ENSNFUG00015010762,protein phosphatase 1 regulatory subunit 14A-like,ENSG00000167641,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
0,1.7027415690210064,0.733,0.32,0,0,cybb,cybb,ENSNFUG00015005643,"cytochrome b-245, beta polypeptide (chronic granulomatous disease)",ENSG00000165168,CYBB,cytochrome b-245 beta chain
0,1.6970688430041125,0.99,0.357,0,0,ENSNFUG00015023573,,ENSNFUG00015023573,NA,,NA,NA
0,1.689510920676852,0.382,0.084,0,0,NOL10,NOL10,ENSNFUG00015021502,nucleolar protein 10,ENSG00000115761,NOL10,nucleolar protein 10
0,1.6865823256516048,0.998,0.404,0,0,FBP1A,FBP1A,ENSNFUG00015007144,"fructose-1,6-bisphosphatase 1-like",,NA,NA
0,1.679998751235546,0.997,0.606,0,0,NCCRP1,NCCRP1,ENSNFUG00015009292,"NCCRP1, F-box associated domain containing",ENSG00000188505,NCCRP1,"NCCRP1, F-box associated domain containing"
0,1.6790611289518926,0.985,0.62,0,0,RAC2,RAC2,ENSNFUG00015000248,ras-related C3 botulinum toxin substrate 2,ENSG00000128340,RAC2,Rac family small GTPase 2
0,1.674936329074305,0.949,0.572,0,0,ruvbl2,ruvbl2,ENSNFUG00015024527,RuvB like AAA ATPase 2,ENSG00000183207,RUVBL2,RuvB like AAA ATPase 2
0,1.674936329074305,0.949,0.572,0,0,ruvbl2,ruvbl2,ENSNFUG00015024527,RuvB like AAA ATPase 2,ENSG00000183207,RUVBL2,RuvB like AAA ATPase 2
0,1.6710733308857635,0.974,0.658,0,0,ENSNFUG00015020842,,ENSNFUG00015020842,NA,,NA,NA
0,1.6603727112339,0.476,0.128,0,0,ENSNFUG00015020021,,ENSNFUG00015020021,NA,,NA,NA
0,1.6561951517266844,0.989,0.363,0,0,ALOX5AP,ALOX5AP,ENSNFUG00015013589,arachidonate 5-lipoxygenase activating protein,ENSG00000132965,ALOX5AP,arachidonate 5-lipoxygenase activating protein
0,1.6491011130617714,0.996,0.826,0,0,MYL12.2,MYL12.2,ENSNFUG00015006405,"myosin regulatory light chain 2, smooth muscle minor isoform",ENSG00000118680,MYL12B,myosin light chain 12B
0,1.6491011130617714,0.996,0.826,0,0,MYL12.2,MYL12.2,ENSNFUG00015006405,"myosin regulatory light chain 2, smooth muscle minor isoform",ENSG00000101608,MYL12A,myosin light chain 12A
0,1.6466900232942203,0.997,0.752,0,0,TXNDC2,TXNDC2,ENSNFUG00015005045,thioredoxin,,NA,NA
0,1.618366203618053,0.797,0.404,0,0,ENSNFUG00015008598,,ENSNFUG00015008598,vesicle-associated membrane protein 8-like,,NA,NA
0,1.5922930003902342,0.791,0.63,0,0,Nfu-g-1-016132,NA,NA,NA,NA,NA,NA
0,1.5894083699061792,0.86,0.577,0,0,REEP5,REEP5,ENSNFUG00015013902,receptor expression-enhancing protein 5-like,ENSG00000129625,REEP5,receptor accessory protein 5
0,1.5889522767017197,0.627,0.281,0,0,ncf4,ncf4,ENSNFUG00015005348,neutrophil cytosolic factor 4,ENSG00000100365,NCF4,neutrophil cytosolic factor 4
0,1.587252278940622,1,0.662,0,0,ENSNFUG00015009214,,ENSNFUG00015009214,NA,,NA,NA
0,1.58696064576734,0.983,0.503,0,0,AIF1,AIF1,ENSNFUG00015002243,allograft inflammatory factor 1-like,ENSG00000204472,AIF1,allograft inflammatory factor 1
0,1.548554081678592,0.557,0.312,0,0,RELL1,RELL1,ENSNFUG00015001013,RELT-like protein 1,ENSG00000181826,RELL1,RELT like 1
