p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,datagenes,external_gene_name,ensembl_gene_id,description,human_ortholog,humangene,human_description
0,3.0096929518552065,0.977,0.331,0,0,ENSNFUG00015003039,,ENSNFUG00015003039,NA,,NA,NA
0,2.1642191229562506,0.926,0.351,0,0,LGALS1,LGALS1,ENSNFUG00015001997,beta-galactoside-binding lectin-like,ENSG00000100079,LGALS2,galectin 2
0,2.1572202627692105,0.996,0.462,0,0,ENSNFUG00015003153,,ENSNFUG00015003153,NA,ENSG00000152672,CLEC4F,C-type lectin domain family 4 member F
0,2.0632136067355438,1,0.502,0,0,ENSNFUG00015020436,,ENSNFUG00015020436,NA,,NA,NA
0,2.0288340723724456,0.859,0.339,0,0,EMB,EMB,ENSNFUG00015024325,embigin,ENSG00000170571,EMB,embigin
0,2.0107419213243367,0.969,0.393,0,0,CNFN,CNFN,ENSNFUG00015000488,cornifelin-like,,NA,NA
0,1.9869251692936327,1,0.395,0,0,OLA.17191,OLA.17191,ENSNFUG00015016623,eosinophil peroxidase-like,ENSG00000121053,EPX,eosinophil peroxidase
0,1.933180593781417,0.988,0.632,0,0,ENSNFUG00015019771,,ENSNFUG00015019771,NA,ENSG00000233276,GPX1,glutathione peroxidase 1
0,1.9035749202112529,0.954,0.382,0,0,ncf2,ncf2,ENSNFUG00015016924,neutrophil cytosolic factor 2,ENSG00000116701,NCF2,neutrophil cytosolic factor 2
0,1.8255865084233789,0.949,0.424,0,0,ENSNFUG00015010583,,ENSNFUG00015010583,NA,,NA,NA
0,1.7930542216672078,0.937,0.472,0,0,GPI.1,NA,NA,NA,NA,NA,NA
0,1.772721298394333,0.918,0.561,0,0,prdx1,prdx1,ENSNFUG00015009619,peroxiredoxin 1,ENSG00000117450,PRDX1,peroxiredoxin 1
0,1.76335311455288,0.47,0.122,0,0,ENSNFUG00015020021,,ENSNFUG00015020021,NA,,NA,NA
0,1.753962562526614,0.743,0.372,0,0,GLT25D1.1,NA,NA,NA,NA,NA,NA
0,1.7348858218678285,0.569,0.213,0,0,PPP1R14AA,PPP1R14AA,ENSNFUG00015010762,protein phosphatase 1 regulatory subunit 14A-like,ENSG00000167641,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
0,1.692052329621075,0.383,0.082,0,0,NOL10,NOL10,ENSNFUG00015021502,nucleolar protein 10,ENSG00000115761,NOL10,nucleolar protein 10
0,1.6790963254921087,0.985,0.602,0,0,RAC2,RAC2,ENSNFUG00015000248,ras-related C3 botulinum toxin substrate 2,ENSG00000128340,RAC2,Rac family small GTPase 2
0,1.6688989211931555,0.733,0.327,0,0,cybb,cybb,ENSNFUG00015005643,"cytochrome b-245, beta polypeptide (chronic granulomatous disease)",ENSG00000165168,CYBB,cytochrome b-245 beta chain
0,1.663888208630282,0.975,0.649,0,0,ENSNFUG00015020842,,ENSNFUG00015020842,NA,,NA,NA
0,1.6626792037233864,0.949,0.557,0,0,ruvbl2,ruvbl2,ENSNFUG00015024527,RuvB like AAA ATPase 2,ENSG00000183207,RUVBL2,RuvB like AAA ATPase 2
0,1.6626792037233864,0.949,0.557,0,0,ruvbl2,ruvbl2,ENSNFUG00015024527,RuvB like AAA ATPase 2,ENSG00000183207,RUVBL2,RuvB like AAA ATPase 2
0,1.6515637543206454,0.99,0.365,0,0,ENSNFUG00015023573,,ENSNFUG00015023573,NA,,NA,NA
0,1.6500249341939366,0.997,0.599,0,0,NCCRP1,NCCRP1,ENSNFUG00015009292,"NCCRP1, F-box associated domain containing",ENSG00000188505,NCCRP1,"NCCRP1, F-box associated domain containing"
0,1.642567570900861,0.996,0.816,0,0,MYL12.2,MYL12.2,ENSNFUG00015006405,"myosin regulatory light chain 2, smooth muscle minor isoform",ENSG00000118680,MYL12B,myosin light chain 12B
0,1.642567570900861,0.996,0.816,0,0,MYL12.2,MYL12.2,ENSNFUG00015006405,"myosin regulatory light chain 2, smooth muscle minor isoform",ENSG00000101608,MYL12A,myosin light chain 12A
0,1.6411271237435718,0.998,0.399,0,0,FBP1A,FBP1A,ENSNFUG00015007144,"fructose-1,6-bisphosphatase 1-like",,NA,NA
0,1.628049207232901,0.989,0.363,0,0,ALOX5AP,ALOX5AP,ENSNFUG00015013589,arachidonate 5-lipoxygenase activating protein,ENSG00000132965,ALOX5AP,arachidonate 5-lipoxygenase activating protein
0,1.6183611344948234,0.998,0.734,0,0,TXNDC2,TXNDC2,ENSNFUG00015005045,thioredoxin,,NA,NA
0,1.5920174527461475,0.861,0.564,0,0,REEP5,REEP5,ENSNFUG00015013902,receptor expression-enhancing protein 5-like,ENSG00000129625,REEP5,receptor accessory protein 5
0,1.5913829892458689,0.797,0.401,0,0,ENSNFUG00015008598,,ENSNFUG00015008598,vesicle-associated membrane protein 8-like,,NA,NA
0,1.584174128988673,1,0.651,0,0,ENSNFUG00015009214,,ENSNFUG00015009214,NA,,NA,NA
0,1.561945442033333,0.627,0.284,0,0,ncf4,ncf4,ENSNFUG00015005348,neutrophil cytosolic factor 4,ENSG00000100365,NCF4,neutrophil cytosolic factor 4
0,1.5618693089906128,0.789,0.627,0,0,Nfu-g-1-016132,NA,NA,NA,NA,NA,NA
0,1.5471375486907522,0.983,0.496,0,0,AIF1,AIF1,ENSNFUG00015002243,allograft inflammatory factor 1-like,ENSG00000204472,AIF1,allograft inflammatory factor 1
